Fecha,Tiempo de Inicio,Tiempo fianl,Duración,Duración real.,Proyecto,Descripcion,Sentimiento,Etiquetas
7/14/2022,11:12 a. m.,2:05 p. m.,2:53:00,2:53:00,Ciclismo,"Montar, cicloturismo, Svanvik a ""Bälögat, Suecia""",-,
7/14/2022,2:05 p. m.,3:15 p. m.,1:10:00,1:10:00,"Comer, Vestirse u Higiene","Comer, sandwich",-,Lectura
7/14/2022,3:16 p. m.,4:04 p. m.,0:48:00,0:48:00,Ciclismo,"Montar, cicloturismo, Bälögat a ""Skaftö, Suecia""",-,
7/14/2022,4:05 p. m.,4:34 p. m.,0:29:00,0:29:00,Transporte,"Barco, Skaftö a ""Lysekil, Suecia""",-,
7/14/2022,4:34 p. m.,6:11 p. m.,1:37:00,1:37:00,Errands Afueras,"Comprar, comestibles, sacar, agua",-,
7/14/2022,6:11 p. m.,7:05 p. m.,0:54:00,0:54:00,Ciclismo,"Montar, cicloturismo, Lysekil a Lysekil",-,
7/14/2022,7:05 p. m.,7:25 p. m.,0:20:00,0:20:00,Tareas Domésticas,"Desempacar, sitio de camping",-,Música
7/14/2022,7:25 p. m.,8:46 p. m.,1:21:00,1:21:00,"Comer, Vestirse u Higiene","Comer, pan, porotos",-,Música
7/14/2022,8:48 p. m.,9:14 p. m.,0:26:00,0:26:00,Tareas Domésticas,"Desempacar, sitio de camping",-,Música
7/14/2022,9:14 p. m.,10:23 p. m.,1:09:00,1:09:00,Escritura y Vídeos,Strava,-,
7/15/2022,6:37 a. m.,7:38 a. m.,1:01:00,1:01:00,Tareas Domésticas,"Empacar, sitio de camping",-,Música
7/15/2022,7:38 a. m.,8:57 a. m.,1:19:00,1:19:00,"Comer, Vestirse u Higiene","Comer, avena",-,Música
7/15/2022,8:56 a. m.,12:58 p. m.,4:02:00,4:02:00,Ciclismo,"Montar, cicloturismo, Lysekil a ""Tanumshede, Suecia""",-,
7/15/2022,12:59 p. m.,2:20 p. m.,1:21:00,1:21:00,"Comer, Vestirse u Higiene","Comer, sandwich, BBC Global News Podcast, The Daily",-,"Comer, Lectura, Podcast"
